Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1727311384,2,,Aggregated,5.400000,5.400000,0,1,1,1,1,4,10000,11000,13000,13000,13000,112,109,0.37874899999224,395.4667808839158,0.37874899999224,13001.780392,6.160714285714286
1727311385,2,,Aggregated,5.400000,5.400000,0,1,1,1,1,4,10000,11000,13000,13000,13000,112,109,0.37874899999224,395.4667808839158,0.37874899999224,13001.780392,6.160714285714286
1727311386,2,,Aggregated,7.200000,7.200000,0,1,1,1,1,1,10000,11000,13000,13000,13000,121,118,0.37874899999224,366.090920305772,0.37874899999224,13001.780392,5.702479338842975
1727311387,2,,Aggregated,7.200000,7.200000,0,1,1,1,1,1,10000,11000,13000,13000,13000,130,127,0.37874899999224,340.79239598460606,0.37874899999224,13001.780392,5.3076923076923075
1727311388,2,,Aggregated,7.200000,7.200000,0,1,1,1,1,1,10000,11000,13000,13000,13000,130,127,0.37874899999224,340.79239598460606,0.37874899999224,13001.780392,5.3076923076923075
1727311389,2,,Aggregated,7.200000,7.200000,0,1,1,1,1,1,10000,11000,13000,13000,13000,130,127,0.37874899999224,340.79239598460606,0.37874899999224,13001.780392,5.3076923076923075
1727311390,2,,Aggregated,7.200000,7.200000,0,1,1,1,1,1,10000,11000,13000,13000,13000,148,145,0.37874899999224,299.4219029053973,0.37874899999224,13001.780392,4.662162162162162
1727311391,2,,Aggregated,7.200000,7.200000,0,1,1,1,1,1,10000,11000,13000,13000,13000,148,145,0.37874899999224,299.4219029053973,0.37874899999224,13001.780392,4.662162162162162
1727311392,2,,Aggregated,5.400000,5.400000,0,1,1,1,1,1,5000,11000,13000,13000,13000,157,154,0.37874899999224,282.28912533756943,0.37874899999224,13001.780392,4.3949044585987265
1727311393,2,,Aggregated,0.000000,0.000000,0,0,1,1,1,1,1,1,1,1,1,9,9,0.42386699988128385,0.5452352222871721,0.42386699988128385,0.9878350001599756,0.0
